	1	2	3	4	5	6	7	8	9	10	11	12	13	14
O00148; Q13838	0.0	21.173695140416726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.779848072920913	6038.138006473069
O00264; O15173	0.0	231.9737555115738	206.25182716460574	86.7486982760538	32.11190120655067	204.17767012661045	180.94791944472047	224.30132705544054	192.79382802788302	8.007348651900202	154.9207202597712	248.76994700360467	252.21170786992036	6925.8498540528335
O00299	0.0	1130.9698631745287	1110.2808985224906	1061.4844768831504	880.901858763074	1106.8491707420867	1210.8418518764256	1117.4313221569473	1107.9082393842477	1015.5392481247768	1165.9898309989235	1264.7214919263033	1064.553643055308	11064.754050663607
O00483	0.0	1411.9725310344452	2553.0560966381477	946.1332981615938	770.3760971192921	1538.7933696960702	1423.2266965605413	1438.7188205259558	1401.48748114351	1474.047892205545	1974.3224257049526	1999.9832472162668	1763.245510547586	23261.207663196088
O00571	0.0	1362.686637363311	1489.9312207153434	1132.8180310462958	1251.5994847420661	1567.369261132726	1410.9085528445207	1561.6425990332714	1561.8386816932193	1263.5137767760366	1335.0613608667336	1473.694902321031	1495.4749132746824	8955.789654144039
O00571; Q92841; P17844	0.0	25.174345174564678	344.9808447628325	0.0	0.0	175.51082427358756	182.9722232126553	126.77084172492641	134.7887939386144	0.0	0.0	403.73730475785555	207.67158718123255	13003.143814728945
O00622	0.0	11355.920079662348	11577.352814746222	9159.685834805503	9753.6147397444	9086.030077976087	8808.519186313722	11186.34039874724	12086.059653252836	10236.469914390602	9905.29039783052	8770.942005423653	9064.46599423897	25327.536130520613
O00767	0.0	0.0	349.4150815753237	89.37680878370975	0.0	437.5476554920124	188.5417641943077	342.145054419012	261.3589675577723	0.0	287.3221008915152	437.6084870528284	403.7386727561616	5031.7554275066295
O14745	0.0	174.3661376374447	232.8621680690585	172.63427056108225	182.1651547841771	183.0368289767785	197.0277800773136	250.81252017089923	195.1045479742395	154.78083718248308	191.08961649663235	235.05228633635602	172.05948760288038	3377.3897091468707
O14818	0.0	787.2836196466126	808.0206009898955	519.1188735457399	373.27324890423233	818.3340950518009	686.6884658156673	788.3953746430498	795.7217740400288	480.7271356213687	674.7656360116341	824.4329009473724	826.4795471894784	13780.858247104097
O14880	0.0	1571.975821623058	1733.7807612528395	1550.8910256332283	1516.5107677772266	1645.5383055737066	1727.8308796836463	1722.420912158449	1799.6359419367986	1630.489513297132	1686.1965670285022	1750.4338110336034	1658.4346873058007	3001.311317834291
O14949	0.0	441.0567494639532	400.345530156531	285.30356525246214	319.82145206068014	431.87794858780376	268.3528615380318	430.5458246018849	447.51773500456477	271.04765255636573	440.48229493261	416.45249191028995	393.45431519736235	2928.0453680640157
O14950	0.0	123.08114520903769	163.50082740701146	16.388562561460958	112.9543611278225	95.83338719129188	117.60910152324482	151.95633049858225	109.12092832973076	63.28019948882297	103.58537480091422	184.74443687736084	141.93894183398743	9092.134473110716
O14979	0.0	1621.7513817324293	1498.9460516080485	852.5433680001587	705.5978383467772	1425.046463482293	1308.0391899912593	1351.3768699275442	1335.0972829940815	1115.2554872390074	1149.1814455520703	1275.8418881507992	1267.3454087992986	0.0
O43390	0.0	57.87131295167234	74.3648132421269	71.91160170248548	0.0	122.57137950032217	120.7203815365661	137.4233293145267	106.44828426814985	22.26143850840822	77.63247121150886	35.17566828370656	84.50341420273156	7920.207360332805
O43390; O60506	0.0	814.3632631717728	1041.8044254513059	280.2824285193994	487.1441236380401	780.5890760157106	678.472219690065	694.9074245900924	704.7135678528555	450.6526121140577	512.0395009466342	1246.6975775277738	945.8699454313021	44781.54636973735
O43707	0.0	10489.940538165929	12959.001368277632	6899.481390111016	7252.526094319669	11044.728595893568	11938.836504703293	10468.973739784753	10229.211885024513	7391.9175085111565	9164.269436997278	11873.47416417078	10188.151652054403	311986.91429166496
O43852	0.0	287.66657396883284	378.1405624310228	0.0	86.61713480992739	366.6570292385136	251.35926676910776	185.28860141732412	354.6478812775099	0.0	285.6648514051444	268.166102484211	0.0	42397.733286584014
O60814	0.0	5521.0214451386755	6706.394786868028	4729.520768531131	4451.373937002649	5493.898952392729	6439.431381974551	5122.196154836284	4463.282060245797	4656.1641394203325	5563.863810846741	7890.458879370629	5989.31852935037	206962.72264377348
