Accession,Abundance: 126,Abundance: 127N,Abundance: 127C,Abundance: 128N,Abundance: 128C,Abundance: 129N,Abundance: 129C,Abundance: 130N,Abundance: 130C,Abundance: 131
A0A0B4J2D5,598.7996775375508,785.4746658546563,749.1942547448073,1139.4641359388538,1310.956878155902,1430.3975167172891,2149.1924037658696,2337.3676773964607,3871.792695904641,3870.264560592077
A0AVT1,497.2129829676931,493.76871773915093,749.3362656281334,859.6780205942789,1224.6462283675448,1454.966135273286,1961.5253626323608,1972.2899560253677,2526.863096634397,3080.0000000000005
A0FGR8,830.3621073642237,794.7418414597578,1362.1657998624341,1616.1018608853074,2161.272822936543,2375.299346032995,3288.618370568059,3420.364082410317,4273.141091474158,4723.977833655628
A1L0T0,591.1983638945131,555.7244884060407,680.259175009107,807.07292432603,991.4558195980774,1059.9333658558226,1159.1998707179464,1303.0218958777791,1542.5243287441074,1926.6666666666667
A1X283,86.10273607489319,169.43964553596342,305.84132150887746,514.0533091476257,699.5712263084034,838.9103944043204,1480.985881341754,1429.5725828862544,1830.7412962234343,2422.6666666666665
A2A3N6,140.674892742079,413.97719491058103,362.4044464360512,407.4587719724898,375.43127035447196,423.729122064482,650.4185321119521,617.747424725166,1065.919734476617,696.6666666666665
A2RRP1,115.81424359369436,112.64685575798123,173.69384380291405,226.10962431089462,360.6255301151407,392.5905266389941,425.76739437591607,528.2115631658098,583.9479713547629,1010.0000000000001
A3KMH1,20.009790777968135,91.05620840436814,79.0882631725084,89.5209532985991,105.75528742379491,95.24746836031585,154.47440137658862,152.06090454773312,190.53449432990885,276.6666666666667
A4D1E9,36.38143777812388,63.833218262856015,73.08155964041916,104.28729611073916,129.0214506570298,152.6401736543523,184.4278864080601,167.06691486494364,189.46106055903613,249.33333333333331
A5A3E0; P0CG39; P60709; P0CG38,625.0822903431869,566.0913764301079,991.3625845624213,1363.1314927312017,1848.983707603459,2055.461437002343,2184.980654046455,2976.442532377732,3582.7101280577754,4535.361900311912
A5A3E0; P60709; P62736; Q562R1,485.37322750324415,623.5506665066894,824.6428015961562,1152.3676892940282,1273.7026156811871,1424.274821569318,1825.0759244514488,2237.9866196248126,3506.914995673854,3154.8152829535
A5D8W1,9.09535944453097,35.671504323360715,25.52849001137929,48.91351056521395,65.03950176563387,89.75242210875915,182.28835176295505,166.06651417712962,399.31736276465415,224.0
A5PLL7,138.85582085317282,133.29877931361108,224.75082382567263,256.10375814805417,273.37741799050985,213.69624311609326,265.3022959930331,259.60397848774176,254.9405205822724,266.6666666666667
A5YKK6,514.4556014788731,551.0242267892623,747.4550240277621,1156.434100141222,1322.7379537742681,1583.318027655933,1789.7472073582528,1989.331257132225,2695.6895516419836,3102.7565876600834
A6ND36,80.03916311187254,99.03536068722516,210.2346236231236,219.18790111770397,191.4170702370688,222.85465353535437,172.44649239547152,149.55990282819806,174.96970465225434,188.66666666666669
A6NDU8,63.06115881541473,100.91280828319151,133.14859496131163,209.49748864723705,269.14720649355803,359.62024912965404,395.8139093444446,505.702547689994,527.5926983839448,861.3333333333333
A6NHL2,146.13210840879762,91.99493220235132,137.65362261037853,164.27556378505815,229.48897370963493,211.864561032241,288.8371770891893,307.62321150281537,507.19745673736304,376.0
A6NHL2; Q71U36; Q9BQE3; P68366,91.55995174161177,130.01324602066998,203.72736146336027,440.22159508692545,818.5459246601725,889.5869320575653,1274.306834624601,1091.937350749018,1847.3795196719616,1836.666666666667
A6NHR9,58.81665774130027,46.93618989915884,41.54636609695062,64.60274980311276,54.992749460373346,79.98345099488061,91.99998973951955,111.04447634735774,121.83473299405439,142.00000000000003
A6NIH7,47.29586911156105,61.48640876789808,89.59999435366457,119.05363892287923,95.17975868141542,135.54447420506486,193.41393191750154,247.09896989006634,264.0647076346906,359.3333333333333
A8K0Z3,46.68951181525899,25.81490444453736,52.0580972781068,41.99178737202329,97.8236408670103,102.57419669572475,109.11626690036039,143.55749870131385,135.25265512996344,197.99999999999997
O00115,87.31545066749732,101.85153208117468,125.64021554620005,136.58867101229552,173.43867137502366,203.31671130759727,253.32090198044452,326.63082457128206,393.9501939102904,390.0
O00116,312.33837195899616,314.44480162193867,409.08465030459854,519.1674365745084,648.445071773736,733.4001081733795,914.4427782554297,1018.7612513286441,1246.747621434838,1322.049230107454
O00139,232.23484448369084,211.68221644520634,360.90277055302886,440.68304329980487,607.0353498125828,619.7191050366704,665.3952746276877,654.7622501742851,629.5689066168538,946.0
O00148,16.37164700015575,24.876180646554186,32.03575217114265,27.225444559883236,38.60067990968514,36.023080982427146,57.76743541783785,52.02083576632975,41.32720017859995,35.333333333333336
O00148; Q13838,724.1989817718701,2055.9340682793645,1316.0969228577248,2206.560763989233,3124.681124996499,4273.4124149224435,6450.416117318227,6450.63307495022,10543.8958823164,12807.398948211614
O00151,669.1699342458714,811.7710206284839,1371.8440177424243,2002.5682913238588,2698.4810933196195,2931.407723504863,4511.576290251271,5000.898524932472,7532.4454174083985,8229.064620353478
O00154,214.04412559462887,144.5634648894092,225.75194108102085,329.93547220875445,453.1614066109612,507.9864979216845,486.53017829690106,650.760647423029,582.3378206984539,947.3333333333334
O00159,2033.1475382846959,2892.756965317331,3896.192574343296,6045.73704281111,7674.333182050885,7967.175738611229,12703.188296116805,13553.057630707273,22503.124976523777,19896.408590163108
O00161,284.9879292619704,225.76307341495402,500.05806904642975,545.8932358363028,750.333764271825,826.6991805119721,1038.5301167340183,1210.4848322549808,1293.4876939016349,1498.0
