Accession,Abundance: 126,Abundance: 127N,Abundance: 127C,Abundance: 128N,Abundance: 128C,Abundance: 129N,Abundance: 129C,Abundance: 130N,Abundance: 130C,Abundance: 131
A0A0B4J1V1,819.1887073040893,285.84139648587734,660.7373885298172,366.85132923910464,470.6110290358873,308.943711476409,273.8604345734535,256.1025760803926,201.80554892407247,210.66666666666669
A0A0B4J2D5,3643.0526623691035,1325.9806707214414,3092.389562529721,2485.441988386821,2617.9774443535803,2356.2016047723664,2137.6081126327563,2104.7835261912437,1135.3616150816597,1478.674057118203
A0A1B0GUT2,905.0108900030817,670.3320510284723,690.3410538274135,755.1973571901904,815.9580008256571,823.337232620246,794.727386639918,856.9431862576924,751.7227516761712,1454.7386271925793
A0AVT1,2071.922881464155,1623.0534467129128,1959.6870273441166,1986.996004658597,1759.767982731947,1856.7150723315415,1593.5254036742826,1691.177362749624,1302.6118809540533,1522.0
A0FGR8,3266.9037031858875,2760.1894928515294,3161.5731073086276,2991.9570258435206,3104.579146087768,2691.124920621559,2953.537269988316,2350.710970221511,2434.7521201456284,2045.6563454296997
A1A4S6,139.46217814947488,97.62727499025038,138.15418123805267,128.28260318046677,125.84879203431593,109.90092503113365,102.69766296504507,86.03445915200692,94.99888872223625,114.66666666666667
A1L0T0,1019.8929723800729,927.9284743063702,1097.7250704893097,1071.9441985187923,1043.2759104357367,1007.4251461187253,1044.0929068112916,1060.924929426783,1010.6378952766715,863.3333333333334
A1X283,222.53312774285777,208.86604505125683,236.7642308898511,219.18790111770397,163.92069550688208,178.2837228282835,147.19998358323127,163.56551245759454,149.7440110367453,238.00000000000003
A2RRP1,878.6117223416919,663.2083632751144,792.3843076081064,760.4666548252131,774.6574803792977,766.2536717448487,724.8743377616098,750.3005158605255,677.3367094206902,734.0
A4D1P6,19.403433481666074,39.89576141428501,14.015641574874905,27.68689277276261,13.748187365093337,36.63364167704456,26.102322670282287,34.01362338567714,38.64361575141814,20.666666666666668
A5A3E0,178.87540240910909,95.74982739428403,224.7508238256726,255.1808617222954,318.8521915827416,288.7952085540346,299.1069433856938,398.6596740938925,366.57763275303597,561.3333333333334
A5A3E0; P0CG39; P60709; P0CG38,4570.135807312126,3853.2183842069894,4923.837658524407,5404.961292207012,5149.614020884212,5167.246361448346,4507.841274845394,4885.170022941968,4348.435783877399,3617.801880940328
A5A3E0; P0CG39; P60709; P62736; P0CG38,1307.3063308272515,787.5892665078852,622.1943741989111,723.5507977948629,761.4380694513234,487.22743430469257,367.14414510003616,433.6736981673837,320.4199806055087,268.0
A5A3E0; P60709; P62736; P0CG38,217.68226937244123,183.05114060671946,98.10949102412437,161.0454262949025,152.81639032738363,152.0296129597349,119.3860331968649,107.04287359610161,123.98160053579986,111.33333333333333
A5A3E0; P60709; P62736; Q562R1,88581.53645373577,107852.67248104206,88885.82422034635,100870.54380380001,87424.62438242693,89371.25111064571,77724.4663009461,80325.56388077696,71261.57587351966,36948.299091848865
A5D8W1,141.2812500383811,284.90267268789415,172.69272654756583,175.35032089416322,159.16170757281134,163.63026615746568,203.255791284985,136.5546938866156,124.51831742123623,66.66666666666667
A5PLL7,272.8607833359291,143.62474109142607,267.79886580564556,183.65638872599197,197.2336110453775,172.78867657672683,94.99533824266669,105.54227256438058,82.6544003571999,96.0
A5PLN9,275.2862125211374,286.78012028386047,254.78434148611885,316.5534740352525,285.53927604424626,316.8810005064354,329.9162422752073,293.61760187341895,612.9306831683265,306.0
A5YKK6,2712.504172297181,2321.5104791332424,2644.304107025858,2589.155393473293,2633.497495867281,2458.3784114092177,2111.89686337495,1771.1451620418657,1464.1127930062792,1488.8867491946692
