Accession,"Abundance: F3: 126, Sample","Abundance: F3: 127C, Sample","Abundance: F3: 128C, Sample","Abundance: F3: 129C, Sample","Abundance: F3: 130C, Sample","Abundance: F3: 131, Sample"
R0020C,21.44582257022462,22.50707587182444,21.7601435146166,23.14346222183789,21.5,24.112194441953196
R0040C,2.139488237409582,1.7566498241423953,2.3149088845336814,2.731216038601987,3.6,2.1570014197274423
YAL001C,3.4639333367583705,2.305602894186894,3.549526956284978,4.815565120692977,4.2,3.620680954542493
YAL002W,6.571285300615145,6.861913375556232,6.275975198069092,8.049899903247962,5.9,8.08875532397791
YAL003W,92.5073961699,94.47482335465818,96.04299749831964,109.82363439431147,111.5,134.81258873296517
YAL005C,48.85164808751879,50.778158979116114,48.66452899486361,56.349299322735725,51.4,59.00939598254361
YAL005C; YER103W; YBL075C; YLL024C,88.48312067572485,87.50311936509306,83.85114403977556,101.0549934282735,103.9,97.45024271268625
YAL005C; YER103W; YLL024C,94.0865422498928,96.67063563483619,84.57133791496382,104.57682463594449,68.2,99.99242295736502
YAL005C; YJL034W; YER103W; YBL075C; YLL024C,18.796932371527042,16.743068636357204,14.558204762734041,17.465407825796916,18.1,17.410082887800073
YAL005C; YLL024C,367.94103663831936,363.68140890448024,350.4772051183994,437.1383143888758,399.4,440.1053253893885
YAL012W,148.79631289222354,152.4991628583617,149.6459987801884,172.28223275076215,173.3,185.65619362654058
YAL013W,2.954531375470375,5.544426007449435,4.578375349411059,5.534306183482974,3.8,5.70064660927967
YAL014C,3.260172552243173,1.6468592101334956,3.8067390545664983,3.090586569996985,3.1,4.6221458994159486
YAL016W,49.46293044106439,50.064519988058265,53.037134665649454,58.146151979710716,68.10000000000001,60.78121857731972
YAL017W,20.783600020550224,19.323148065566347,19.959658826645963,23.359084540674885,20.6,25.806981271739044
YAL019W,7.284448046418339,6.861913375556232,6.5331872963506115,7.762403478131962,7.1,8.936148738870834
YAL021C,37.69574513531168,38.4267149031149,36.11257859872543,39.60263255972881,44.2,40.28970508990901
YAL023C,2.9035911793415754,2.7996606572269425,3.652411795597586,2.659341932322987,3.9,2.773287539649569
YAL025C,4.68649804384956,3.4584043412803407,5.915878260474964,6.899914202783966,7.7,6.162861199221265
YAL026C,6.673165692872743,7.026599296569581,6.944726653601044,8.19364811580596,10.0,8.859112973880567
YAL029C; YOR326W,3.311112748371972,2.7447653502224925,2.8807755007530256,3.3062088888339836,3.0,3.235502129591164
YAL030W,4.9411990244935575,4.007357411324839,5.298569224599316,6.037424927435971,5.9,8.08875532397791
YAL032C,5.450600985781554,6.532541533529533,6.173090358756483,6.899914202783966,8.0,7.241361909084986
YAL035W,280.3748394929128,275.299964627316,280.82416890376373,329.9740219268874,289.7,312.45706280051814
YAL036C,19.459154921201435,19.2682527585619,20.679852701834218,21.777854202536894,23.700000000000003,25.036623621836384
YAL038W,398.3523337272126,394.038513677941,437.5692215965221,531.7965123583185,512.7,575.1490214173245
YAL039C,68.61644418549302,61.48274384498384,65.48620022247502,66.55542241435367,67.3,65.63447177170646
YAL041W,6.622225496743944,6.642332147538432,6.738956974975828,7.187410627899965,5.699999999999999,7.703576499026581
YAL042W,6.673165692872744,6.807018068551782,7.664920528789299,7.546781159294963,6.0,7.70357649902658
YAL043C,34.435572583068506,34.25467157077671,32.46016680312784,36.65579420228982,28.6,39.28824014503556
YAL044C,25.72479904504378,24.263725695966833,38.58181474222802,51.10248956436875,33.1,74.18544168562597
YAL044W-A,21.34394217796702,22.287494643806642,21.34860415736617,25.443433622765877,22.6,25.19069515181692
YAL046C,16.402743153473462,14.327675128161411,15.175513798609689,16.67479265672792,18.6,16.177510647955817
YAL049C,27.762406890195766,27.063386353193778,28.19044597165461,26.377797004392875,28.0,27.116589276573563
YAL053W,69.12584614678102,64.72156695824637,58.85012808681181,64.03982869458869,51.8,63.93968494192062
YAL060W,26.03044022181658,27.118281660198225,23.766397881212463,24.79656666625488,23.9,23.649979852011604
YAL061W,77.27627752738896,78.00623125332324,68.77851508047848,54.19307613436574,51.2,48.14735311891613
YAL062W,9.831457852858316,8.893039734720876,8.745211341571686,6.037424927435971,7.6,6.856183084133656
YAR002C-A,34.12993140629571,32.99207950967436,34.10632423212957,36.87141652112682,43.7,36.900131430337325
YAR002W,168.00076683278098,181.5936755707201,166.62199726676874,187.59141738818911,179.79999999999998,183.65326373679366
YAR007C,90.46978832474804,85.96605076896847,87.34922857640424,93.36446405642054,95.10000000000001,88.89927279876673
YAR014C,8.710773538024727,5.160158858418287,5.60722374253714,6.684291883946968,5.3,5.007324724367277
YAR015W,137.94605111678922,139.21449856328482,144.3474295555891,140.0826331377703,140.3,142.6702367619723
YAR042W,44.11420984754043,41.77532863038634,40.17652975157345,44.418197680421784,37.1,43.44817145450992
YAR071W,5.756242162554352,6.258064998507283,7.047611492913652,7.762403478131962,5.4,8.859112973880567
YBL001C,17.166846095405457,18.2801372324818,18.827925594207276,18.61539352626091,22.8,21.10779960733283
YBL002W,102.23697363050074,98.04301830994743,88.2237497105614,124.9890708191804,114.3,107.46489216142079
YBL003C,3.820514709659968,1.921335745155745,2.6235634024715053,4.312446376739979,2.7,4.6221458994159486
YBL004W,15.23111864251107,16.358801487326055,16.20436219173577,18.902889951376906,21.5,19.10486971758592
YBL005W,10.035218637373514,11.19864262890777,10.2370415116045,17.89665246347091,16.3,17.024904062848744
YBL005W-B,22.10804511989901,22.01301810878439,29.064967105811775,25.730930047881877,26.3,29.35062646129127
YBL006C,2.6998303948263773,2.250707587182444,2.8807755007530256,4.312446376739979,3.0,2.773287539649569
YBL007C,111.60996971819986,113.08433242916671,116.82573503946645,124.1984556501114,139.4,131.577086603374
YBL008W,9.729577460600717,9.387097497760925,8.693768921915382,9.918626666501952,6.699999999999999,10.322792508695617
YBL011W,12.531288247684692,13.065083067059064,14.146665405483606,14.662317680915928,18.1,11.709436278520403
YBL015W,13.14257060123029,12.022072233974518,12.294738297856663,9.271759709990956,7.5,8.782077208890302
YBL017C,57.10395986038432,53.41313371532971,63.17129133794134,64.03982869458869,56.5,64.86411412180381
YBL017C; YIL173W; YNR065C,10.64650099091911,12.351444076001217,8.487999243290165,12.002975748592942,14.5,13.40422310830625
YBL022C,135.80656287937964,136.4148379060579,137.55703016095697,138.93264743730634,164.0,146.52202501148557
YBL024W,68.05610202807622,68.23486660653117,73.04823591195172,80.4989990324796,86.2,83.8149123094092
YBL026W,26.845483359877374,30.027732931434066,27.881791453716783,28.74964251159986,32.4,29.273590696301007
YBL029C-A,10.74838138317671,10.594794251858822,9.208193118478421,12.721716811382937,11.2,12.171650868461997
YBL030C,196.62915705716634,188.7300654812986,194.4523463008292,210.37550907863198,212.4,190.0472322309857
YBL032W,4.431797063205562,4.830787016391588,3.292314858003458,4.959313333250976,4.7,4.699181664406214
YBL034C,6.927866673516741,5.928693156480585,6.63607213566322,8.40927043464296,8.8,6.933218849123922
YBL035C,23.483430415376603,21.46406503873989,22.840434327398988,20.555994395793903,29.699999999999996,27.501768101524892
YBL036C,48.138485341715594,44.35540805959549,41.977014439544085,49.16188869483577,53.5,49.91917571369224
YBL039C,119.5566403142926,121.31862847983416,137.6084725806133,141.8794857947453,137.9,150.0656702010378
YBL041W,43.55386769012363,43.09281599849314,42.54288105576343,52.396223477390755,37.0,45.21999404928603
YBL045C,57.81712260618752,57.74986296868124,65.1261032848809,52.108727052274745,54.0,46.52960205412055
YBL046W,9.882398048987115,8.508772585689726,7.253381171538868,9.559256135106954,5.2,12.787936988384125
YBL047C,206.868136479055,201.57556732033987,200.21389730233528,237.97516588976785,218.99999999999997,226.25404177641067
YBL050W,56.64549809522512,55.99321314453885,58.7472432474992,66.05230367040068,65.0,61.55157622722238
YBL051C,26.692662771490976,26.075270827113684,24.12649481880659,32.19959961299185,30.8,31.58466364600898
YBL055C,14.314195112192678,12.790606532036815,14.55820476273404,15.021688212310927,15.8,14.559759583160236
YBL057C,2.9035911793415754,3.5681949552892402,3.755296634910194,3.5218312076709832,3.1,5.161396254347809
YBL058W,24.75693531859659,24.538202230989086,21.34860415736617,33.42145941973484,26.0,30.737270231116057
YBL059C-A,26.743602967619776,28.271083107291673,32.768821321065666,29.03713893671586,31.5,33.04834318082403
YBL061C,22.770267669573407,21.134693196713194,20.268313344583788,22.137224733931895,26.0,24.42033750191426
YBL064C,28.068048066968558,27.777025344251626,29.425064043405907,28.318397873925864,27.999999999999996,29.65876952125233
YBL068W,33.26394807210612,30.52179069447412,43.98326880613995,41.0401146853088,41.8,40.44377661988955
YBL068W; YER099C,12.225647070911897,9.826259953796523,10.2370415116045,14.949814106031928,12.0,10.785007098637212
YBL069W,25.521038260528584,21.244483810722095,22.428894970148555,27.599656811135866,28.8,31.892806705970045
YBL072C,98.87492068599995,121.15394255882083,107.36032982270652,158.12303381379925,146.60000000000002,157.15296058014223
YBL076C,218.32968060803495,212.33504749321202,233.0341610430573,253.78746927114778,264.1,269.70221323092056
YBL078C,15.434879427026269,14.93152350521036,17.696192361768585,13.440457874172935,12.5,15.946403352985023
YBL079W,9.882398048987115,8.124505436658579,11.574544422668406,11.427982898360945,12.9,10.47686403867615
YBL085W,24.043772572793394,25.142050608038037,23.457743363274638,33.42145941973484,32.9,29.504697991271804
YBL087C,24.960696103111786,27.502548809229378,26.904385480247008,32.34334782554984,56.0,39.827490499967425
YBL090W,9.067354910926325,10.430108330845473,8.69376892191538,7.618655265573963,9.5,9.398363328812428
YBL091C,38.30702748885728,29.094512712358423,29.527948882718512,34.427696907640836,34.3,36.43791684039573
YBL091C-A,17.166846095405457,17.840974776446203,14.558204762734041,18.327897101144913,19.3,18.257476302692996
YBL092W,82.57405792478411,82.78212296271037,82.71941080733689,112.91422096430846,93.0,102.99681779198538
YBL097W,4.126155886432765,3.293718420266991,2.7778906614404177,4.384320483018978,3.6,3.389573659571696
YBL098W,6.927866673516741,5.709111928462785,5.144241965630403,7.762403478131962,7.9,8.165791088968176
YBL099W,45.285834358502825,44.465198673604384,48.35587447692579,50.31187439529975,42.800000000000004,43.29409992452938
YBL101C,20.936420608936626,19.817205828606397,26.44140370334027,20.987239033467898,25.0,23.572944087021334
YBL103C,7.029747065774341,7.2461805245873805,6.996169073257348,8.696766859758958,6.8,8.550969913919504
YBL105C,6.571285300615144,8.124505436658579,9.722617315041461,9.918626666501952,10.600000000000001,11.478328983549606
