Accession,"Abundance: F3: 126, Sample","Abundance: F3: 127C, Sample","Abundance: F3: 128C, Sample","Abundance: F3: 129C, Sample","Abundance: F3: 130C, Sample","Abundance: F3: 131, Sample"
R0040C,3.0564117677279743,2.5800794292091433,3.2408724383471537,1.7249785506959916,2.3,1.9258941247566452
YAL001C,2.445129414182379,3.5132996482847907,1.851927107626945,2.1562231883699896,2.3,2.1570014197274423
YAL002W,5.603421574167952,3.8975667973159394,4.835587447692578,3.5218312076709832,3.9,4.391038604445151
YAL003W,73.25200203321378,78.06112656032768,71.6078481615752,58.721144829942716,64.19999999999999,50.4584260686241
YAL005C,73.55764320998658,79.87267169147454,74.02564188542149,65.04606618249468,55.5,68.7159023713171
YAL005C; YER103W; YBL075C; YLL024C,77.02157654674494,77.89644063931433,74.17996914439041,79.49276154457363,79.1,95.13916976297827
YAL005C; YER103W; YLL024C,83.9494432202617,85.80136484795513,75.20881753751648,68.13665275249167,47.3,63.01525576203743
YAL005C; YJL034W; YER103W; YBL075C; YLL024C,18.644111783140644,18.00566069745955,13.632241208920567,14.37482125579993,11.5,13.019044283354921
YAL005C; YLL024C,603.4375633417598,630.6372868671199,591.2277291099023,527.8434365129734,454.30000000000007,518.9129129744305
YAL012W,87.56619714540648,89.36955980324437,86.68047712087228,77.48028656876163,75.8,72.02844026589852
YAL014C,3.5148735328871705,2.9643465782402925,4.115393572504322,3.8093276327869816,3.2,2.6192160096690373
YAL016W,75.03490889772178,75.97510489415859,73.92275704610888,72.66472144806865,65.5,70.25661767112241
YAL017W,7.641029419319936,7.41086644560073,7.8706902074145155,8.481144540921958,8.8,8.782077208890302
YAL019W,9.72957746060072,9.002830348729775,9.413962797103638,6.684291883946968,8.6,7.472469204055782
YAL021C,36.3203598398341,33.32145135170106,34.620748428692615,32.630844250665845,35.599999999999994,33.895736595716954
YAL025C,6.4184647122287455,5.544426007449435,6.481744876694307,5.821802608598971,6.6,6.779147319143392
YAL026C,8.863594126411124,7.520657059609629,9.259635538134726,8.04989990324796,9.9,9.55243485879296
YAL028W,2.6998303948263773,1.9762310521601947,3.0865451793782417,2.731216038601987,3.1,3.004394834620366
YAL030W,3.6167539251447693,2.9643465782402925,4.166835992160626,3.162460676275985,2.1,5.161396254347809
YAL032C,10.54462059866151,10.100736488818772,10.802908127823846,8.19364811580596,11.8,8.705041443900036
YAL035W,280.7823610619432,266.07755305056844,262.1505705685253,238.90952927139483,199.3,226.7162563663523
YAL036C,34.995914740485304,34.41935749179006,32.71737890140936,29.899628212063856,32.0,31.58466364600898
YAL038W,481.5376740055423,479.45561137686497,508.5083183025654,436.70706975120186,463.5,462.5997687665462
YAL039C,46.610279457851604,44.13582683157768,42.64576589507604,37.66203169019582,50.0,49.61103265373117
YAL041W,2.6998303948263773,3.4584043412803407,3.498084536628674,2.5155937197649876,3.2,3.543645189552227
YAL042W,10.340859814146313,9.057725655734226,10.08271425263559,6.899914202783967,5.6,7.087290379104454
YAL043C,34.12993140629571,34.58404341280341,35.03228778594304,27.38403449229887,18.9,26.26919586168064
YAL044C,8.965474518668724,7.2461805245873805,9.619732475728853,8.69676685975896,8.1,7.010254614114189
YAL044W-A,21.03830100119422,21.57385565274879,18.725040754894664,17.609156038354914,15.2,17.487118652790336
YAL046C,3.4129931406295713,4.062252718329289,3.4466421169723698,3.953075845344981,3.0,3.928824014503556
YAL049C,33.46770885662132,31.400115606545313,30.968336633095024,32.70271835694484,34.2,34.203879655678016
YAL053W,44.368910828184426,41.83022393739079,35.28949988422456,40.3932477287978,33.1,38.5178824951329
YAL059W,6.316584319971147,3.73288087630259,8.745211341571684,2.874964251159986,3.8,3.543645189552227
YAL060W,24.75693531859659,28.87493148434062,26.389961283683967,24.149699709743885,24.7,24.1121944419532
YAL061W,59.2434480977939,64.11771858119744,58.335703890248766,86.82392038503157,86.5,90.51702386356233
YAR002C-A,18.796932371527042,17.840974776446203,17.541865102799672,17.68103014463391,16.3,14.405688053179706
YAR002W,112.06843148335905,107.53990642171726,103.14205141088956,88.04578019177457,72.5,91.51848880843578
YAR007C,134.12553640712926,135.37182707297333,128.091624944197,123.8390851187164,130.80000000000004,130.80672895347132
