	Abundance: 126	Abundance: 127N	Abundance: 127C	Abundance: 128N	Abundance: 128C	Abundance: 129N	Abundance: 129C	Abundance: 130N	Abundance: 130C	Abundance: 131N	Abundance: 131C	Abundance: 132N	Abundance: 132C	Abundance: 133N
P67809	0.0	1153.3215735809345	0.0	354.22043170057987	0.0	987.3381386713038	1314.5200103561797	899.2055179885518	1062.4509360473999	828.0218041856085	986.6199218636621	1171.3820189821136	828.1497379952259	21666.322990697317
P47914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P61978	0.0	576.399298304035	0.0	0.0	0.0	212.8528350545589	226.4546926317687	0.0	276.4875735350821	0.0	388.7936982431206	1026.7688955962863	173.3406239549961	177314.94688587016
P21333	3397.206590900807	7637.8227808180745	0.0	3224.442501365028	2658.4943644928753	2935.975112202457	5090.98591402822	4618.056138587141	2989.198223393678	1528.056074997959	4112.815978619252	10551.487057527518	4288.189317697554	1207735.1799004925
P07737	0.0	74.14765879214383	0.0	110.88244991193415	0.0	764.9360240115914	240.02226402282713	137.42252559678195	1061.423313575836	39.6030337300399	71.41507833539754	3235.123956513379	1564.4628275462687	328265.2727343553
P60709; P68133	3079.6739188277616	350.2077530536138	0.0	0.0	0.0	1686.290905419357	3628.1200913532293	1925.1636663043987	1618.6912321977543	0.0	546.3651652808411	4127.939875673446	1316.1897114111744	2040572.8388421978
P08865	168.76000825815413	183.52408092054407	0.0	0.0	0.0	0.0	11.616486375809245	0.0	59.52373910570759	0.0	0.0	92.24651409509033	0.0	31656.255857480166
P08195	168.10945693561825	406.8768733209123	0.0	0.0	445.02158420725755	552.0921613893771	291.4380923885541	508.0473715144353	219.70164663697506	0.0	19.31956904802263	800.7502478398812	380.2961123307371	194710.90292280892
Q05639; P68104	0.0	3355.448566366503	0.0	0.0	0.0	30.510618355722272	0.0	2322.9320477454194	2425.5586189255623	0.0	0.0	37.083097945112286	99.92558770814821	696417.3451852681
Q96AG4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.01700088079451	0.0	7507.506858074557
