,Abundance: 126,Abundance: 127N,Abundance: 127C,Abundance: 128N,Abundance: 128C,Abundance: 129N,Abundance: 129C,Abundance: 130N,Abundance: 130C
A0A0B4J2D5,112.64512009545788,101.82187234498348,102.72521005779302,98.94868105336187,113.03661886638564,59.56765936585551,135.5011169201483,2125.042378149827,82.49999999999999
A0A0B4J2F0,64.30348960914803,74.74158714684958,71.46101569237774,60.30813772230451,82.04838690301511,101.29867496679385,88.70936431462944,1954.5736132280244,93.75
A0A1B0GTU1; O75152,401.7827967777264,392.8446706075959,362.40943672563003,435.51864726406734,412.3547685125781,423.03134363209256,446.47130611099215,3352.21514877384,506.25
A0AVF1,54.270321017649756,28.524567075367713,60.61425438192756,44.779695075244064,65.84999292216234,40.72139425575433,51.665893501927044,706.6613192752458,73.75000000000001
A0AVT1,1243.556613426958,1188.873968359167,1149.3956544254804,1298.1431929592102,1295.5868439820479,1067.3248634580439,1480.6490106631934,16390.655903319857,1467.2684014769331
A0FGR8,918.9470323576829,1172.0347433752354,1255.9911552718359,1238.6641460329606,1378.6241833704041,1277.1710016577495,1351.1118564843562,9248.309878532084,1573.75
A0JLT2,75.02073787733937,142.2617649075301,113.89099375972704,133.97795865254474,168.32244180103532,149.0874186388361,184.72993997387118,1609.0835050927394,652.5
A1A4S6,110.5928810653787,124.20824144210751,118.9953520234683,135.783591518482,182.0558627848018,144.71239280970548,177.41872862925888,2021.3447615060004,102.5
A1L0T0,505.34583467081274,429.2607617309027,423.19957154904887,485.57896227042295,545.2508956656582,478.03697274714176,557.0904222708721,7521.593152977271,572.1285498285903
A1L390,139.78028060428278,142.2617649075301,156.0019494355925,145.53400899454323,163.04035680727898,143.7027714645215,183.26769770494877,1716.3220159634284,128.75
A1X283,923.5075635356365,642.7054353690447,689.4073879965551,741.3928547538392,782.8049960746893,655.9173339212,806.1829042659182,9428.389642069655,822.5
A2RRP1,771.8699018686741,676.6460594840391,640.2779397080453,721.169766655342,750.7603471125675,702.6964562480582,736.9701035369216,5880.919468785977,831.25
A3KMH1,1364.1327306136338,1339.1550756604895,1866.417537926602,1308.438527222404,1410.0035214198413,1300.648897978221,1487.3919450832348,24616.04310077876,1848.698302911745
A3KN83,410.6758325747362,506.58186843975824,372.9371756445964,473.43693744874975,415.8761585084157,424.04096497727653,427.46215661500014,3661.284630575684,357.5
A4D1E9,509.86738569523055,754.2762103853563,719.3954927960349,608.8594023940443,752.5210421104863,671.7347349957492,677.0181705111006,9053.560696054654,667.5
A4D1P6,759.556467688199,542.6889153706035,593.3816481599224,561.5518213064881,571.169457324852,568.4168173385874,606.8305416028222,5852.592314971078,622.5
A5A3E0; P60709; P62736; P0CG38; P63261,3851.4205495761735,33780.804647113706,37531.957488904416,43422.556003323385,48126.90623999119,36230.63482108061,49673.75277374856,115506.94815509775,55499.23590938481
A5A3E0; Q9BYX7; P60709; P0CG38; P63261,2014.4503142703202,24041.583595369233,21333.523294874838,20420.388625873555,20832.498765941255,23101.709318491103,15927.808119063642,29564.00508604198,29180.30256944126
A5A3E0; Q9BYX7; P60709; P62736; Q562R1; P63261,270.41261362518975,398.226039654538,380.0963724561047,368.9278533514623,476.7977431612945,402.1937584015775,463.9245617225849,6035.839665733427,474.06113537117903
A5PLL7,424.99710196621413,1646.2316917240603,1593.0473893142657,1829.8326133367786,1966.6031724906343,1581.6038107512575,1953.6450505414734,6036.903951557871,1665.901214980585
A5YKK6,1456.177605120636,1027.967626121163,1033.9515707990906,1097.8247824898544,1113.8156556834201,1143.564443645068,1184.4162378271953,13434.658538748216,1162.5
A6NDG6,582.607857983593,862.9584216472003,311.04683169673353,550.356897537677,532.082028371055,258.79960481549654,473.7664951308782,2737.617079397015,396.25
A6NDR6,47.42952425071912,72.57516433099887,90.92138157289133,74.39207407661515,98.24678088386788,77.06776268237803,140.37525781655648,594.3643880804681,52.50000000000001
A6NHL2,437.4946758937996,520.0333973424088,569.6638149197071,498.33374760199763,598.0260889522227,587.1945158645608,571.2474284906144,5979.84649165963,646.2918385896068
A6NHL2; Q71U36; Q9BQE3; P68366,43.781099308356104,92.43404014296372,60.93327677341139,72.94756778386534,53.87726693631465,81.10624806311401,93.09609112139685,686.4276379788894,93.75
A6NHL2; Q71U36; Q9NY65; Q9BQE3; P68366,305.32756236400434,690.0056668484519,564.9886553178617,638.832907968603,704.6301381670955,860.8704669935503,701.8762890827825,9608.975247639635,4981.25
A6NHR9,1289.979773014174,1980.1439088605416,1586.6047399243944,1774.046561016632,1667.7791589279898,1434.082236342319,1526.890511070709,11131.199507081259,1288.789605227918
A6NHT5,156.426219403814,108.32114079253562,139.09376268694956,101.83769363886151,148.60265782434502,101.6352154151885,121.36610832056444,698.0620047242944,130.0
A6NIH7,57.23466628331971,40.80096303185509,30.30712719096378,63.558276880991585,53.17298893714714,33.654044839466394,58.48969075689854,381.4048924363174,31.25
A6NJ78,172.38807852665218,136.48463739859486,166.8487107460427,214.87031104653403,195.08500576940077,162.88557702301733,324.61778370078684,1341.9989119808356,225.00000000000003
A6NKF1,99.64760623828968,96.4058153053567,92.19747113882664,117.72726285910942,138.39062683641603,108.02948393468712,154.02285232649947,1133.591994628365,141.25000000000003
A6ZKI3,28.04726674441563,45.13380866355651,47.21531393960673,32.862518160058144,43.31309694880197,44.759879636490304,47.27916669515965,775.4558356828576,86.25000000000001
A7E2V4,287.54149076998465,441.95025443354535,357.9431232448564,455.7417353625646,420.45396550300455,434.1371784291165,487.4140896408211,3880.3142306087407,490.0
A8MPP1; Q96FC9,49.25373672190062,79.43550324785946,53.27673937779949,90.28164329686304,81.34410890384761,95.24094689568989,136.4759450994299,797.7128851088495,72.5
A8MTY0; A6NK75; Q96IR2,209.55640762697536,593.9609220124037,529.2581474716727,832.7578777702647,1010.6389288053794,754.1871448524419,800.8213492798691,979.8160167760566,554.9999999999999
A8MTY0; Q08AN1,81.84761605241934,922.1699196419396,872.0343843735083,1100.3659512367885,1284.1041519186758,1084.5224192424434,1051.6339888907569,543.7016224491774,902.2778818656938
B2RBV5,62.47927713796652,166.09241588188794,151.21661356333507,191.7582103625371,216.91762374359362,176.68373540719855,213.48737126267966,660.6296943260351,229.99999999999997
B4DXR9; Q6ZN06; Q8WV37; Q3SXZ3; Q96IR2; Q08AN1,465.1741801512836,371.90258338770565,506.9265800678047,445.2690647401285,573.6344303219383,414.9543728706206,774.0135743496239,2639.989567142096,442.5
C9J7I0,65.67164896253416,51.9941475804171,48.17238111405822,47.30758108755623,46.83448694463953,52.50030994956757,64.33865983258838,782.0317821041732,53.75
C9JLW8,271.77499888089454,692.3815717668318,717.2501559919165,666.8112173752309,728.5120539913653,832.2231598681832,844.4357473496822,11601.089260647033,3353.507992268732
E7EW31,104.20813741624345,155.2603018026344,100.81107570889004,157.09005933654169,106.34597787429428,100.96213451839917,183.7551117945896,1079.4668971606118,282.50000000000006
E9PRG8,50.154001040579026,64.70994613134522,85.76132717451344,41.185455116332825,58.08921942117861,80.87525667852013,51.617601265358594,1326.866326037727,127.28476146835702
