,Abundance: 126,Abundance: 127N,Abundance: 127C,Abundance: 128N,Abundance: 128C,Abundance: 129N,Abundance: 129C,Abundance: 130N,Abundance: 130C
A0A024RBG1,399.5025311887496,457.47628461380873,465.7726915663908,520.0222653899311,593.0020752990449,488.3201906206573,660.9335055529534,1370.3260657957344,567.5
A0A087WTH1,392.43370786292115,323.519140500373,448.86450481774773,430.8240018126304,466.5841744484765,386.3484347570742,676.5307564214597,380.89905040390846,1316.25
A0A096LP01,1064.4279769344078,730.08448894169,787.9853069650582,779.3111449385217,766.9587410934204,768.6583841334123,712.5993990548805,1233.2428750129202,560.0
A0A0A6YYC5,1095.4395889444934,724.3073614327549,691.6405447369418,675.3066918605355,726.8148951408722,712.4561292515034,743.3064867022522,1496.280731865553,652.5000000000001
A0A0B4J2D5,32040.720462429796,33275.02480217945,40477.26422955114,36224.666629901636,37320.86428890268,33162.88124211538,42839.24996552428,28606.54696702755,43457.319143361325
A0A0B4J2F0,396.08213280528406,516.3307711110864,322.21261539866754,378.46064870044984,382.4229535479589,391.0600010345995,212.99995717303884,1188.7287761609361,445.0
A0A0J9YXQ4,171.70399884995908,210.865154076136,218.21131577493924,230.39875369359447,242.97590971279155,250.38609360562995,239.807732103284,520.5114513487674,186.25
A0A0U1RQI7,379.66422056465063,248.416482884215,331.4642647516986,560.1073150137382,324.67215761622293,390.0503796894155,472.79166695159654,1247.4064519203698,320.0
A0A0U1RRE5,66.8117817570226,52.716288519034,60.61425438192756,39.36279647743228,58.45507393090348,42.740636946122315,59.951933025821,155.29350394953508,41.24999999999999
A0A1B0GTU1,230.53485104556262,231.80724129602623,235.75754730654987,226.06523481534504,194.0285887706495,233.2225307375021,164.2585482089567,408.21452015398955,265.0
A0A1B0GTU1; O75152,14105.283489313773,17160.000117631822,17182.395016450744,18271.411144303318,17256.070143608802,16447.036203694985,17068.691506258652,21958.008933839814,18068.845674950022
A0AV96,382.4010164051775,1924.2439163297684,2261.699039187368,2201.518816342299,1354.3429813424827,2333.654393281368,1311.885947439831,1040.7432799191097,1452.032211020227
A0AVF1,2041.3370496981809,2711.1526758396412,2858.74662680662,2726.194944413719,2595.557754761126,2530.669293011514,2649.840009099385,4590.7084522619325,2131.0026124873134
